study,sample,class
GSE1561,GSM26804,ER+
GSE1561,GSM26867,ER+
GSE1561,GSM26868,ER+
GSE1561,GSM26869,ER+
GSE1561,GSM26870,ER+
GSE1561,GSM26871,ER-
GSE1561,GSM26872,ER+
GSE1561,GSM26873,ER+
GSE1561,GSM26874,ER+
GSE1561,GSM26875,ER+
GSE1561,GSM26876,ER+
GSE1561,GSM26877,ER+
GSE1561,GSM26878,ER-
GSE1561,GSM26879,ER+
GSE1561,GSM26880,ER-
GSE1561,GSM26881,ER+
GSE1561,GSM26882,ER-
GSE1561,GSM26883,ER-
GSE1561,GSM26884,ER-
GSE1561,GSM26885,ER+
GSE1561,GSM26886,ER-
GSE1561,GSM26887,ER-
GSE1561,GSM26888,ER-
GSE1561,GSM26889,ER-
GSE1561,GSM26890,ER+
GSE1561,GSM26891,ER+
GSE1561,GSM26892,ER-
GSE1561,GSM26893,ER-
GSE1561,GSM26894,ER+
GSE1561,GSM26895,ER-
GSE1561,GSM26896,ER+
GSE1561,GSM26897,ER+
GSE1561,GSM26898,ER-
GSE1561,GSM26899,ER+
GSE1561,GSM26900,ER-
GSE1561,GSM26901,ER+
GSE1561,GSM26902,ER-
GSE1561,GSM26903,ER-
GSE1561,GSM26904,ER+
GSE1561,GSM26905,ER-
GSE1561,GSM26906,ER-
GSE1561,GSM26907,ER+
GSE1561,GSM26908,ER-
GSE1561,GSM26909,ER+
GSE1561,GSM26910,ER-
GSE1561,GSM26911,ER+
GSE1561,GSM26912,ER-
GSE1561,GSM26913,ER+
GSE1561,GSM26914,ER+
GSE6532,GSM65753,ER+
GSE6532,GSM65754,ER+
GSE6532,GSM65755,ER+
GSE6532,GSM65756,ER+
GSE6532,GSM65757,ER+
GSE6532,GSM65758,ER+
GSE6532,GSM65760,ER+
GSE6532,GSM65761,ER+
GSE6532,GSM65762,ER+
GSE6532,GSM65763,ER+
GSE6532,GSM65764,ER+
GSE6532,GSM65765,ER+
GSE6532,GSM65767,ER+
GSE6532,GSM65769,ER+
GSE6532,GSM65770,ER+
GSE6532,GSM65771,ER+
GSE6532,GSM65773,ER+
GSE6532,GSM65774,ER+
GSE6532,GSM65775,ER+
GSE6532,GSM65776,ER+
GSE6532,GSM65779,ER+
GSE6532,GSM65780,ER+
GSE6532,GSM65781,ER+
GSE6532,GSM65782,ER+
GSE6532,GSM65783,ER+
GSE6532,GSM65784,ER+
GSE6532,GSM65785,ER+
GSE6532,GSM65786,ER+
GSE6532,GSM65787,ER+
GSE6532,GSM65788,ER+
GSE6532,GSM65789,ER+
GSE6532,GSM65790,ER+
GSE6532,GSM65791,ER+
GSE6532,GSM65792,ER+
GSE6532,GSM65793,ER+
GSE6532,GSM65794,ER+
